Frame,gid,model,main_cluster,is_roi,u,u_bin
100,56,2,4,1,0.8871663448825627,17
100,56,2,4,1,0.3311882298810657,6
100,56,2,4,1,0.13339100614882535,2
100,56,2,4,1,0.0,0
100,56,2,4,1,1.0,19
100,57,0,6,0,0.3390189801379497,6
100,57,0,6,1,0.08333244403422853,1
100,57,0,6,0,0.5185280713005386,10
100,57,0,6,0,0.9515826412796677,19
100,57,0,6,1,0.0,0
100,57,0,6,0,0.5003679603869887,10
100,57,0,6,0,1.0,19
100,58,1,3,0,0.061270596955845885,1
100,58,1,3,0,0.0,0
100,58,1,3,1,0.3782901584889292,7
100,58,1,3,1,0.4151033044793477,8
100,58,1,3,1,0.45034307097564746,9
100,58,1,3,0,0.6629323245823947,13
100,58,1,3,0,1.0,19
100,62,2,1,0,0.0,0
100,62,2,1,1,0.5001073803283997,10
100,62,2,1,0,1.0,19
100,64,1,2,0,0.0,0
100,64,1,2,1,0.498952464590514,9
100,64,1,2,0,1.0,19
101,56,2,6,1,0.34673831672345884,6
101,56,2,6,1,0.0029536178327071697,0
101,56,2,6,1,0.0,0
101,56,2,6,1,0.22812683799069217,4
101,56,2,6,1,0.3676513592714383,7
101,56,2,6,1,0.1252859615623466,2
101,56,2,6,0,0.49304374412117663,9
101,56,2,6,0,1.0,19
101,57,0,7,1,0.0,0
101,57,0,7,0,0.5455404476359641,10
101,57,0,7,1,0.08761028353354816,1
101,57,0,7,0,0.8506829741206813,17
101,57,0,7,0,0.41863090365958366,8
101,57,0,7,0,0.6959443762484658,13
101,57,0,7,0,1.0,19
101,58,1,5,0,0.0,0
101,58,1,5,0,0.0456119691107418,0
101,58,1,5,0,0.6838320271829359,13
101,58,1,5,1,0.08895192140253776,1
101,58,1,5,1,0.3133074122675498,6
101,58,1,5,1,0.34570037241004314,6
101,58,1,5,0,0.6364724921092255,12
101,58,1,5,0,1.0,19
101,61,1,1,0,0.0,0
101,61,1,1,1,1.0,19
101,69,0,2,1,0.0,0
101,69,0,2,0,1.0,19
102,56,2,9,1,0.38040355774601364,7
102,56,2,9,1,0.012410715259444375,0
102,56,2,9,1,0.0,0
102,56,2,9,1,0.38040355774601364,7
102,56,2,9,1,0.28943571344983837,5
102,56,2,9,0,1.0,19
102,58,1,8,1,0.0,0
102,58,1,8,1,0.23934662943620544,4
102,58,1,8,1,0.2735696884704869,5
102,58,1,8,0,0.6580355812584053,13
102,58,1,8,0,1.0,19
102,59,2,5,1,0.9999999454650477,19
102,59,2,5,1,0.9999999454650477,19
102,59,2,5,1,0.9999999065115105,19
102,59,2,5,1,1.0,19
102,59,2,5,1,0.9999999065115105,19
102,59,2,5,1,0.9999999792247803,19
102,59,2,5,0,0.0,0
102,61,1,3,1,0.0,0
102,61,1,3,0,1.0,19
102,62,2,1,0,0.0,0
102,62,2,1,1,1.0,19
102,64,1,2,0,0.0,0
102,64,1,2,1,0.5000032585520808,10
102,64,1,2,0,1.0,19
102,69,0,4,0,0.0,0
102,69,0,4,1,0.5000024324114027,10
102,69,0,4,0,1.0,19
103,55,1,4,1,0.0,0
103,55,1,4,1,1.0,19
103,56,2,8,1,0.23197189894483022,4
103,56,2,8,1,0.38501251568703804,7
103,56,2,8,1,0.010485477942518443,0
103,56,2,8,1,0.0,0
103,56,2,8,1,0.3119953173761393,6
103,56,2,8,0,1.0,19
103,57,0,9,1,0.0,0
103,57,0,9,0,0.4083613499482617,8
103,57,0,9,0,1.0,19
103,58,1,7,1,0.3492168638530032,6
103,58,1,7,1,0.0,0
103,58,1,7,1,0.32395472161384953,6
103,58,1,7,0,0.5874517211958422,11
103,58,1,7,0,0.7177273047056879,14
103,58,1,7,0,0.8946899243870697,17
103,58,1,7,0,1.0,19
103,59,2,3,1,5.209763695420521e-08,0
103,59,2,3,1,0.0,0
103,59,2,3,1,7.904469035120975e-08,0
103,59,2,3,1,2.2994819034558898e-07,0
103,59,2,3,1,3.862411005337922e-08,0
103,59,2,3,1,1.4371761955610398e-08,0
103,59,2,3,1,1.0060233341950782e-07,0
103,59,2,3,0,1.0,19
103,59,2,3,1,0.0,0
103,59,2,3,0,0.5896085519255501,11
103,59,2,3,0,0.6917742487388562,13
103,59,2,3,0,0.6764353156417192,13
103,61,1,2,0,0.0,0
103,61,1,2,1,0.5000031587671936,10
103,61,1,2,0,1.0,19
103,62,2,10,1,0.5,10
103,64,1,1,0,0.0,0
103,64,1,1,1,1.0,19
104,55,1,3,1,1.0,19
104,55,1,3,1,0.8554216874735757,17
104,55,1,3,1,0.8072289156263213,16
104,55,1,3,1,0.18072289186416604,3
104,55,1,3,1,0.0,0
104,55,1,3,1,0.03614457933774176,0
104,56,2,5,1,0.295741600020302,5
104,56,2,5,0,0.8630779521628539,17
104,56,2,5,1,0.0,0
