u_bin,u_left,u_right,n_points,n_roi_points,p_roi_given_u
0,0.0,0.05,2293,1122,0.4893153074574793
1,0.05,0.1,66,52,0.7878787878787878
2,0.1,0.15000000000000002,58,48,0.8275862068965517
3,0.15000000000000002,0.2,74,56,0.7567567567567568
4,0.2,0.25,139,102,0.7338129496402878
5,0.25,0.30000000000000004,134,81,0.6044776119402985
6,0.30000000000000004,0.35000000000000003,485,325,0.6701030927835051
7,0.35000000000000003,0.4,101,55,0.5445544554455446
8,0.4,0.45,66,22,0.3333333333333333
9,0.45,0.5,292,139,0.476027397260274
10,0.5,0.55,1214,970,0.7990115321252059
11,0.55,0.6000000000000001,53,11,0.20754716981132076
12,0.6000000000000001,0.65,55,7,0.12727272727272726
13,0.65,0.7000000000000001,452,81,0.17920353982300885
14,0.7000000000000001,0.75,106,4,0.03773584905660377
15,0.75,0.8,92,4,0.043478260869565216
16,0.8,0.8500000000000001,46,2,0.043478260869565216
17,0.8500000000000001,0.9,35,6,0.17142857142857143
18,0.9,0.9500000000000001,18,4,0.2222222222222222
19,0.9500000000000001,1.0,2197,317,0.14428766499772416
