帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
100,-11.7069998,190.0608195,2.694626593,10.50049049
100,-11.7069998,192.0614597,2.785989899,12.82476921
100,-11.7069998,194.0620999,2.877509969,5.172122553
100,-10.32462344,196.0627401,1.518620524,7.007141184
100,-10.32462344,198.0633803,1.60844964,13.89852974
100,-10.32462344,200.0640205,1.60844964,9.948015201
100,6.172094452,12.5,-47.16657193,11.45772537
100,6.926461552,11.5,-43.54221903,21.84693645
100,7.269355688,12.5,-40.96178855,21.86222986
100,7.47509217,12.5,-40.12403459,20.00295455
100,8.22945927,16,-22.19610086,10.10064929
100,8.366616924,12.5,-39.29648024,19.08788788
100,8.503774579,14.5,-40.96178855,7.19697662
100,8.915247542,13,-36.86989765,21.05314741
100,8.915247542,15.5,-24.27465219,9.492421036
100,9.052405197,15,-22.19610086,18.49344081
100,9.258141678,14.5,-18.79736882,26.52675648
100,9.395299333,14,-33.7489886,24.77409601
100,9.46387816,16,-20.82749693,23.23051126
100,9.806772296,17.5,-14.14900451,15.86236466
100,9.943929951,18,-13.49339882,20.17968785
100,12.3441889,26,-21.51018827,20.87225006
100,12.48134656,25,-20.82749693,10.3732774
100,12.54992539,26.5,-20.82749693,19.32961815
100,12.61850421,28,-20.82749693,38.77528774
100,12.68708304,24.5,-19.47122063,12.287121
100,12.75566187,26,-18.12620396,21.62170637
100,12.89281952,27.5,-16.79144711,24.25019293
101,-8.294258162,198.0633803,0.445616044,13.36378378
101,-8.294258162,200.0640205,0.445616044,14.60761868
101,-7.257475891,216.0691421,0.178213643,7.422805184
101,-7.257475891,218.0697823,0.267332166,5.256493696
101,0.205736482,7.5,-38.47859513,32.3457379
101,0.891524754,8,-32.23095264,20.56307577
101,1.645891854,7.5,-34.51810784,26.56341791
101,1.98878599,7.5,-33.7489886,31.4731859
101,2.057364817,9,-44.427004,13.04004701
101,2.194522472,8,-30.73786867,28.90372314
101,3.223204881,8,-32.98670708,6.383307829
101,3.49752019,8.5,-36.86989765,6.441000616
101,6.446409761,18,-35.29439468,13.51024326
101,7.269355688,13,-44.427004,11.95078891
101,7.47509217,13,-43.54221903,16.09649667
101,7.543670997,14.5,-36.86989765,4.364831648
101,7.749407479,17,-36.86989765,17.87710974
101,7.817986306,12.5,-40.12403459,16.55258287
101,8.366616924,13,-37.66988696,20.20522271
101,8.503774579,13,-36.86989765,18.980299
101,8.70951106,17,-20.82749693,7.391635882
101,9.120984024,16,-22.88538048,16.32134597
101,9.395299333,15.5,-18.12620396,29.02245244
101,9.46387816,14,-35.29439468,9.303835059
101,9.46387816,16.5,-20.14788629,23.98324628
101,9.532456987,17,-20.14788629,24.92913978
101,9.601035815,16,-18.79736882,27.19062911
101,9.875351124,17,-15.46600995,25.34812139
101,9.875351124,19,-17.45760312,18.43549274
101,10.08108761,15,-31.48143216,27.16749168
101,12.54992539,26,-20.14788629,23.34875192
101,12.68708304,28,-20.14788629,24.63135769
101,12.75566187,26,-18.12620396,17.60413457
101,12.75566187,29,-19.47122063,33.64653324
101,12.8242407,27,-16.79144711,19.58172075
101,12.96139835,28,-16.79144711,16.2342729
101,12.96139835,29,-16.12762021,21.97337571
102,-11.79339832,188.0601793,2.877509969,5.454488416
102,-11.79339832,190.0608195,2.877509969,5.878945757
102,-10.67021753,194.0620999,1.518620524,12.73958794
102,-10.67021753,196.0627401,1.518620524,19.33205963
102,-10.67021753,198.0633803,1.518620524,14.460892
102,-8.207859639,198.0633803,0.445616044,12.59309495
102,-8.207859639,200.0640205,0.445616044,10.6621588
102,-7.430272936,214.0685019,0.356464735,7.059762049
102,-7.430272936,216.0691421,0.356464735,11.57038989
102,-7.430272936,218.0697823,0.356464735,6.041668175
102,0.068578827,7.5,-36.86989765,34.35727513
102,0.411472963,7.5,-36.86989765,31.76729515
102,0.480051791,5.5,-11.53695903,14.29624224
102,0.7543671,9.5,-33.7489886,29.98761962
102,1.028682409,6.5,-24.27465219,35.01690875
102,1.23441889,7.5,-38.47859513,34.02531144
102,1.302997718,6,-8.949018065,19.63448021
102,1.302997718,8,-32.23095264,29.94927736
102,1.371576545,9.5,-33.7489886,7.557323813
102,1.851628336,7.5,-38.47859513,18.15380238
102,1.920207163,10,-32.23095264,6.406535649
102,2.400258954,7,-6.379370208,13.82043804
102,2.605995435,8,-32.98670708,16.71940644
102,3.49752019,8.5,-30,32.29206074
102,8.503774579,13.5,-37.66988696,18.1299088
