Frame,V,R,A,SNR,X,Y
100,-11.7069998,190.0608195,2.694626593,10.50049049,-8.935285777522582,189.72157435854675
100,-11.7069998,192.06145969999997,2.7859898989999996,12.82476921,-9.335250553357197,191.70669628158728
100,-11.7069998,194.06209990000002,2.8775099689999997,5.172122553,-9.742094745785682,193.6909657355286
100,-10.32462344,196.06274009999998,1.5186205240000001,7.007141184,-5.196020428376489,195.86883219958207
100,-10.32462344,198.0633803,1.60844964,13.89852974,-5.559451907224875,197.86155541275238
100,-10.32462344,200.0640205,1.60844964,9.948015201,-5.61560798695407,199.8626459485646
100,6.1720944520000005,12.5,-47.16657193,11.45772537,9.166666666083344,4.81894409937659
100,6.926461552,11.5,-43.54221903,21.84693645,7.922222222490525,4.52641083613466
100,7.269355687999999,12.5,-40.96178855,21.86222986,8.194444444057392,6.332541373986984
100,7.47509217,12.5,-40.12403459,20.00295455,8.055555554968945,6.508304287662721
100,8.22945927,16.0,-22.19610086,10.10064929,6.044444445266521,13.056212749035867
100,8.366616924,12.5,-39.29648024,19.08788788,7.916666666803845,6.67655516615544
100,8.503774579,14.5,-40.96178855,7.19697662,9.505555555106575,8.419882041262962
100,8.915247542000001,13.0,-36.86989765,21.05314741,7.80000000075437,7.691553808446757
100,8.915247542000001,15.5,-24.27465219,9.492421036,6.372222221091583,12.273743681738946
100,9.052405197,15.0,-22.19610086,18.49344081,5.666666667437363,11.995369476600308
100,9.258141678,14.5,-18.79736882,26.52675648,4.672222221166525,11.807639032255251
100,9.395299332999999,14.0,-33.7489886,24.77409601,7.777777778613087,9.30086946615812
100,9.46387816,16.0,-20.82749693,23.23051126,5.688888888363709,13.21501203994351
100,9.806772296,17.5,-14.14900451,15.86236466,4.277777778093302,15.458027599964074
100,9.943929951,18.0,-13.49339882,20.17968785,4.199999999525978,16.042443704248484
100,12.3441889,26.0,-21.51018827,20.87225006,9.533333334647375,23.15416929044316
100,12.48134656,25.0,-20.82749693,10.373277400000001,8.888888888068296,22.293219918521775
100,12.54992539,26.5,-20.82749693,19.32961815,9.422222221352394,23.758613772934087
100,12.61850421,28.0,-20.82749693,38.77528774,9.955555554636492,25.216798242412665
100,12.68708304,24.5,-19.47122063,12.287121,8.166666664856242,22.012622642137075
100,12.75566187,26.0,-18.12620396,21.62170637,8.08888888864879,23.69746561443004
100,12.89281952,27.5,-16.79144711,24.25019293,7.944444442335935,25.379830623994273
101,-8.294258162,198.0633803,0.445616044,13.36378378,-1.5404159075582557,197.93364982916415
101,-8.294258162,200.0640205,0.445616044,14.60761868,-1.5559756641609785,199.93546768484316
101,-7.257475891,216.06914210000002,0.178213643,7.422805184,-0.6720635828880362,215.9546769541483
101,-7.257475891,218.06978230000004,0.26733216600000004,5.256493696000001,-1.01747207589257,217.95502908385527
101,0.205736482,7.5,-38.47859513,32.345737899999996,4.666666666328715,0.0
101,0.8915247540000001,8.0,-32.23095264,20.56307577,4.266666667197915,0.0
101,1.645891854,7.5,-34.51810784,26.56341791,4.249999999885538,0.0
101,1.98878599,7.5,-33.7489886,31.4731859,4.1666666671141535,0.0
101,2.057364817,9.0,-44.427004,13.04004701,6.299999999909618,0.0
101,2.194522472,8.0,-30.73786867,28.90372314,4.0888888886335195,0.0
