甯у彿,杞﹁締ID,閫熷害(m/s),璺濈(m),瑙掑害(deg),Yaw(deg)
100,56,9.442010782,16.92027633,-18.07602226,-3.05E-05
100,57,12.59315711,27.04664313,-18.87564272,-3.05E-05
100,58,7.999007488,13.83466157,-39.23254574,-3.05E-05
100,61,-8.259319111,202.6256951,0.494847707,-180
100,62,-11.70758891,193.9627032,2.585591258,-180
100,64,-10.29670405,200.9142356,1.497340811,-180
100,67,-10.29180948,209.0334974,2.399063309,-180
100,68,-9.408310951,214.6432357,1.401548212,-180
100,69,-7.016979942,219.2667925,0.457290762,-180
100,70,-11.52670538,227.8561566,2.200780431,-180
100,71,-8.079797687,227.6638005,1.321376118,-180
101,56,9.574461923,17.86917115,-17.08571991,-3.05E-05
101,57,12.69895055,28.31099283,-18.00302616,-3.05E-05
101,58,8.828075084,14.67806846,-36.59304959,-3.05E-05
101,59,0.158357489,8.750909783,-36.86543023,-3.05E-05
101,61,-8.277118168,201.7979908,0.496877449,-180
101,62,-11.75423392,192.7872678,2.60136657,-180
101,64,-10.49672402,199.8645633,1.505206528,-180
101,67,-10.46511949,207.9869696,2.411141786,-180
101,68,-9.596670322,213.6835732,1.407843892,-180
101,69,-7.269265815,218.5398622,0.458811883,-180
101,70,-11.4858483,226.7075612,2.211936035,-180
101,71,-8.031747716,226.8606245,1.326055144,-180
102,55,0.527805413,7.230346706,-14.00670368,-3.05E-05
102,56,9.737516939,18.83562683,-16.18424988,-3.05E-05
102,57,12.82537545,29.5886693,-17.20079522,-3.05E-05
102,58,9.471918476,15.59258581,-34.13634405,-3.05E-05
102,59,1.489175534,8.833507083,-36.46473674,-3.05E-05
102,61,-8.223401326,200.9756508,0.498910594,-180
102,62,-11.76832546,191.6104171,2.617354974,-180
102,64,-10.65433443,198.799124,1.513275367,-180
102,67,-10.6977214,206.9171987,2.423614914,-180
102,68,-9.801112831,212.7034579,1.414332404,-180
102,69,-7.436033673,217.796266,0.460378385,-180
102,70,-11.62333367,225.5452184,2.223340914,-180
102,71,-8.198555951,226.0407721,1.330865624,-180
103,55,1.448370425,7.329527943,-13.81338148,-3.05E-05
103,56,9.958301692,19.8250888,-15.35601764,-3.05E-05
103,57,12.85229932,30.86966694,-16.46620616,-3.05E-05
103,58,10.14385398,16.57919963,-31.85488913,-3.05E-05
103,59,2.767097705,9.047274776,-35.47060729,-3.05E-05
103,61,-8.227418444,200.1528957,0.500961484,-180
103,62,-11.71559029,190.438854,2.633468025,-180
103,64,-10.80740713,197.7183834,1.521548961,-180
103,67,-10.91097257,205.8260831,2.436470599,-180
103,68,-10.04042619,211.6994145,1.421041642,-180
103,69,-7.60693593,217.0355616,0.461992035,-180
103,70,-11.75610676,224.3696013,2.234996328,-180
103,71,-8.404391449,225.2003252,1.335833309,-180
103,72,-3.997991102,227.6948135,0.440364011,-180
104,55,2.345696093,7.520495317,-13.45593345,-3.05E-05
104,56,10.03261246,20.82290088,-14.6033687,-3.05E-05
104,57,12.99633596,32.16551035,-15.78512948,-3.05E-05
104,58,10.50353997,17.60688404,-29.7993891,-3.05E-05
104,59,4.004785419,9.389018014,-33.99799607,-3.05E-05
104,61,-8.313490651,199.3215448,0.503051,-180
104,62,-11.74609291,189.2642238,2.649823739,-180
104,64,-11.0651543,196.611862,1.53011419,-180
104,67,-11.09513357,204.716572,2.449683672,-180
104,68,-10.21225979,210.6781822,1.427931361,-180
104,69,-7.791530057,216.2564073,0.463656591,-180
104,70,-11.84684485,223.1849016,2.2468661,-180
104,71,-8.554536758,224.3448645,1.340927971,-180
104,72,-4.243015951,227.2705123,0.441186162,-180
105,55,3.150154121,7.795992574,-12.97196723,-3.05E-05
105,56,10.104781,21.8286829,-13.91659823,-3.05E-05
105,57,13.04308881,33.46649376,-15.15644593,-3.05E-05
105,58,10.96638404,18.68432281,-27.92445916,-3.05E-05
105,59,5.00011586,9.838514473,-32.25017808,-3.05E-05
