帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
200,-8.207859639,116.0371319,4.084358683,10.56391582
200,-8.207859639,118.0377721,4.178740295,16.96390614
200,-8.207859639,120.0384123,4.273378738,13.1835672
200,-8.207859639,122.0390525,4.463457333,6.54700499
200,-8.207859639,130.0416133,3.802679657,7.465972623
200,-8.207859639,132.0422535,3.709250956,5.765158718
200,-8.207859639,142.0454545,3.245277395,3.99027867
200,-8.207859639,144.0460948,3.245277395,4.286213332
200,-5.529505441,148.0473752,2.149418304,6.202012909
200,-5.529505441,150.0480154,2.149418304,9.981117073
200,-2.678354198,186.0595391,0.356464735,6.205151309
200,4.457623771,15,-20.14788629,24.04809838
200,4.663360253,16.5,-20.14788629,34.9060642
200,4.869096735,18.5,-17.45760312,18.93650156
200,4.937675562,17.5,-14.80650691,16.50851035
200,5.211990871,25.5,-10.88794813,23.62796021
200,5.211990871,27,-12.18747414,19.21603217
200,5.280569698,26.5,-11.53695903,17.97361789
200,5.349148525,34,-8.305109528,14.92341225
200,5.349148525,35.5,-8.949018065,16.0318075
200,5.349148525,37,-8.305109528,5.335783589
200,8.023722788,55,-8.305109528,4.513349063
200,8.092301615,56.5,-8.305109528,5.824800707
200,8.092301615,70,-7.020370749,5.927462929
200,8.160880442,80.5,-6.379370208,8.037434722
200,8.160880442,84.5,-5.099688914,5.024124161
201,-8.207859639,114.0364917,4.273378738,7.667025649
201,-8.207859639,116.0371319,4.273378738,21.21269179
201,-8.207859639,118.0377721,4.273378738,22.57219024
201,-8.207859639,120.0384123,4.084358683,14.47315351
201,-8.207859639,122.0390525,3.802679657,10.38294949
201,-5.48630618,146.046735,1.968681243,10.64808356
201,-5.48630618,148.0473752,2.058993642,24.23406681
201,-5.48630618,150.0480154,2.058993642,25.02733561
201,-5.48630618,152.0486556,2.058993642,13.48880325
201,-2.764752721,196.0627401,0.534790795,6.154705728
201,-2.764752721,198.0633803,0.534790795,7.675055533
201,-2.721553459,184.0588988,0.534790795,11.764713
201,-2.721553459,186.0595391,0.534790795,17.59906214
