帧号,车辆ID,速度(m/s),距离(m),角度(deg),Yaw(deg)
200,218,5.326259604,36.67259056,-8.230667474,-3.05E-05
200,219,8.126664405,82.91209553,-6.057902114,-3.05E-05
200,220,8.122720382,72.42370707,-6.939244335,-3.05E-05
200,221,5.224039497,27.87213235,-10.8571019,-3.05E-05
200,223,-5.526294379,152.0443212,1.978782539,-180
200,224,4.686228739,17.30822043,-17.65736479,-3.05E-05
200,225,-8.220928949,120.8653248,4.151538293,-180
200,226,-2.680103344,188.5497397,0.531790996,-180
200,227,8.044758818,57.48858715,-8.754680391,-3.05E-05
200,229,-5.514090407,161.2259254,1.866052413,-180
200,230,-8.199693054,131.3360783,3.820044689,-180
200,231,-2.707933386,199.0447948,0.503750455,-180
200,232,-8.217067254,145.3208839,3.451957355,-180
200,233,-5.457921292,172.7717394,1.741309976,-180
200,234,-2.694627009,206.8567152,0.484725913,-180
201,218,5.31997314,37.20437437,-8.112223388,-3.05E-05
201,219,8.144378267,83.72646747,-5.998762141,-3.05E-05
201,220,8.098157871,73.23342216,-6.862148591,-3.05E-05
201,221,5.181147239,28.38972712,-10.65682078,-3.05E-05
201,223,-5.48918296,151.4954006,1.985955226,-180
201,224,4.73734225,17.7798773,-17.17418592,-3.05E-05
201,225,-8.204042958,120.0448928,4.179961739,-180
201,226,-2.717116797,188.2780275,0.532558468,-180
201,227,8.114180695,58.29977736,-8.631929914,-3.05E-05
201,229,-5.509081819,160.6750064,1.872452968,-180
201,230,-8.251840992,130.5108704,3.844234665,-180
201,231,-2.761502115,198.7686476,0.504450328,-180
201,232,-8.189395906,144.5019322,3.47154492,-180
201,233,-5.466144167,172.2251189,1.746838382,-180
201,234,-2.744699113,206.5822549,0.485369924,-180
202,218,5.302885444,37.73443294,-7.997519031,-3.05E-05
202,219,8.169382656,84.54332817,-5.940592263,-3.05E-05
202,220,8.13964321,74.04727356,-6.786370225,-3.05E-05
202,221,5.25374519,28.9146155,-10.46116736,-3.05E-05
202,223,-5.536583223,150.9417415,1.993242708,-180
202,224,4.852078705,18.26311417,-16.70622995,-3.05E-05
202,225,-8.212843124,119.2235797,4.208808586,-180
202,226,-2.658622714,188.0121634,0.53331157,-180
202,227,8.054270733,59.10500538,-8.513451855,-3.05E-05
202,229,-5.473122366,160.1276964,1.878855229,-180
202,230,-8.221457932,129.6887074,3.868642219,-180
202,231,-2.724578377,198.4961912,0.505142756,-180
202,232,-8.210185646,143.6809017,3.491406762,-180
202,233,-5.479498096,171.6771771,1.7524155,-180
202,234,-2.710690667,206.3111803,0.486007672,-180
203,218,5.307935319,38.26502274,-7.885913309,-3.05E-05
203,219,8.218093523,85.36506471,-5.883204437,-3.05E-05
203,220,8.205180317,74.86768627,-6.711660087,-3.05E-05
203,221,5.227213346,29.43688613,-10.27353092,-3.05E-05
203,223,-5.48431974,150.3933065,2.000514359,-180
203,224,4.870297416,18.74833859,-16.26168561,-3.05E-05
203,225,-8.212261755,118.4023322,4.238054371,-180
203,226,-2.64907772,187.7472528,0.534064092,-180
203,227,8.058507465,59.91065954,-8.398133657,-3.05E-05
203,229,-5.562741949,159.571418,1.885407425,-180
203,230,-8.161419193,128.87255,3.893180214,-180
203,231,-2.668411055,198.2293467,0.505822767,-180
203,232,-8.243740808,142.8565039,3.511580201,-180
203,233,-5.453200989,171.1318456,1.758001525,-180
203,234,-2.735503957,206.0376282,0.486652951,-180
204,218,5.29145566,38.79398598,-7.777717339,-3.05E-05
204,219,8.239307791,86.18893656,-5.826771819,-3.05E-05
204,220,8.131730912,75.68075975,-6.639227347,-3.05E-05
204,221,5.182717704,29.95472278,-10.09405169,-3.05E-05
204,223,-5.514675274,149.8418318,2.00788002,-180
204,224,4.884850939,19.23516559,-15.83914643,-3.05E-05
204,225,-8.203483962,117.5819602,4.267677986,-180
204,226,-2.741718459,187.4730798,0.534845165,-180
204,227,8.142618354,60.72471122,-8.28475482,-3.05E-05
204,229,-5.516033341,159.0198152,1.891949839,-180
204,230,-8.278101351,128.0447164,3.918389557,-180
204,231,-2.718972746,197.9574478,0.506517544,-180
204,232,-8.202468482,142.0362464,3.531885184,-180
204,233,-5.438075474,170.5880426,1.763607476,-180
204,234,-2.661221122,205.7715106,0.487282338,-180
205,218,5.353019045,39.32908587,-7.671254647,-3.05E-05
205,219,8.191891215,87.00805677,-5.771729621,-3.05E-05
205,220,8.120985661,76.49276118,-6.568437203,-3.05E-05
205,221,5.151591514,30.46948634,-9.921778147,-3.05E-05
205,223,-5.471411372,149.29469,2.015241617,-180
205,224,4.967809848,19.73036666,-15.43157037,-3.05E-05
205,225,-8.244632448,116.7574639,4.29787114,-180
205,226,-2.744332924,187.1986559,0.535629244,-180
205,227,8.139180305,61.53844453,-8.174449553,-3.05E-05
205,229,-5.480238618,158.4717834,1.898495028,-180
205,230,-8.168030983,127.2278905,3.943585994,-180
205,231,-2.746054343,197.6828427,0.507221175,-180
205,232,-8.286002236,141.2076336,3.552636969,-180
205,233,-5.43515191,170.0445185,1.769246396,-180
205,234,-2.673940817,205.5041125,0.487916396,-180
206,218,5.374362027,39.86634047,-7.567264231,-3.05E-05
206,219,8.168920729,87.82488563,-5.717868995,-3.05E-05
206,220,8.195637212,77.31222924,-6.498513581,-3.05E-05
206,221,5.268858325,30.99597484,-9.751588695,-3.05E-05
206,223,-5.475071695,148.7471744,2.022662491,-180
206,224,5.005851943,20.22948815,-15.04170936,-3.05E-05
206,225,-8.17419758,115.9400231,4.328231061,-180
206,226,-2.651543325,186.9334954,0.536389043,-180
206,227,8.155665973,62.35383798,-8.066836492,-3.05E-05
206,229,-5.473877695,157.9243972,1.905077877,-180
206,230,-8.240804718,126.4037874,3.969337704,-180
206,231,-2.686318556,197.4142156,0.507911384,-180
206,232,-8.229681554,140.384649,3.573490755,-180
206,233,-5.450034976,169.4995208,1.774936933,-180
206,234,-2.736808635,205.2304321,0.488567062,-180
207,218,5.372451514,40.40339575,-7.466100499,-3.05E-05
207,219,8.169276381,88.64174941,-5.665003704,-3.05E-05
207,220,8.235199704,78.13565854,-6.429738774,-3.05E-05
207,221,5.27705745,31.52331605,-9.586905025,-3.05E-05
207,223,-5.547027686,148.1924685,2.030236774,-180
207,224,4.98965204,20.72711861,-14.67236359,-3.05E-05
207,225,-8.268535607,115.1131375,4.359381711,-180
207,226,-2.70113237,186.6633801,0.53716526,-180
207,227,8.13197125,63.16685443,-7.962330687,-3.05E-05
207,229,-5.5336661,157.3710294,1.911779234,-180
207,230,-8.179831487,125.5857833,3.99523387,-180
207,231,-2.69404494,197.1448037,0.508605498,-180
207,232,-8.187550844,139.5658741,3.594482403,-180
207,233,-5.520749619,168.947442,1.780738857,-180
207,234,-2.733860952,204.9570419,0.489218773,-180
208,218,5.419262508,40.94515524,-7.366762218,-3.05E-05
208,219,8.234672444,89.46515471,-5.612696829,-3.05E-05
208,220,8.147977025,78.95037343,-6.363112598,-3.05E-05
208,221,5.346694925,32.05762262,-9.425649482,-3.05E-05
208,223,-5.475092906,147.6449594,2.037768634,-180
208,224,5.062384215,21.23209607,-14.31585525,-3.05E-05
208,225,-8.164755423,114.2966348,4.39058478,-180
208,226,-2.704058628,186.392968,0.537944582,-180
208,227,8.117724279,63.97846842,-7.86067992,-3.05E-05
208,229,-5.483289288,156.8226952,1.918466309,-180
208,230,-8.284746615,124.7572865,4.021809212,-180
208,231,-2.685779541,196.876231,0.50929934,-180
208,232,-8.177457297,138.7481152,3.615695785,-180
208,233,-5.445182792,168.4029186,1.786498661,-180
208,234,-2.694850163,204.6875636,0.489862862,-180
209,218,5.392596233,41.4842451,-7.270510144,-3.05E-05
209,219,8.245392954,90.28963423,-5.561282192,-3.05E-05
209,220,8.246381601,79.77493025,-6.297075711,-3.05E-05
209,221,5.301863228,32.58746965,-9.271032525,-3.05E-05
209,223,-5.471133355,147.0978383,2.045351201,-180
209,224,5.049393892,21.73587417,-13.97722465,-3.05E-05
209,225,-8.21663035,113.4749425,4.422440847,-180
209,226,-2.707247561,186.1222439,0.538727072,-180
209,227,8.098007024,64.78810901,-7.761837713,-3.05E-05
209,229,-5.467901849,156.2758981,1.925181394,-180
209,230,-8.182016344,123.9390691,4.048404403,-180
209,231,-2.744990402,196.6017347,0.510010445,-180
209,232,-8.201542987,137.927947,3.637224829,-180
209,233,-5.539808161,167.8489371,1.792396879,-180
209,234,-2.758276621,204.4117267,0.490523908,-180
210,218,5.386579814,42.022751,-7.176847674,-3.05E-05
210,219,8.192483893,91.10882551,-5.511123268,-3.05E-05
210,220,8.120619522,80.58690533,-6.233375019,-3.05E-05
