Frame,V,R,A,SNR_db
20,-15.03334292,192.0614597,0.534790795,8.51218791
20,-15.03334292,194.0620999,0.534790795,18.09525956
20,-15.03334292,196.0627401,0.534790795,16.50754521
20,-13.86696286,196.0627401,1.518620524,18.55899936
20,-13.86696286,198.0633803,1.518620524,19.07846077
20,-13.86696286,200.0640205,1.518620524,7.46003514
21,-14.99014366,192.0614597,0.534790795,12.05817846
21,-14.99014366,194.0620999,0.534790795,13.71956249
21,-13.95336139,194.0620999,1.428872796,11.69226469
21,-13.95336139,196.0627401,1.428872796,15.05839936
21,-13.95336139,198.0633803,1.428872796,6.697581296
22,-13.95336139,192.0614597,1.518620524,9.451233994
22,-13.95336139,194.0620999,1.518620524,16.41661562
22,-13.95336139,196.0627401,1.428872796,11.81963086
23,-13.95336139,194.0620999,1.428872796,11.69226469
23,-13.95336139,196.0627401,1.428872796,15.05839936
23,-13.95336139,198.0633803,1.428872796,6.697581296
23,-13.95336139,192.0614597,1.518620524,9.451233994
23,-13.95336139,194.0620999,1.518620524,16.41661562
23,-13.95336139,196.0627401,1.428872796,11.81963086
23,-13.95336139,192.0614597,1.518620524,9.444515801
23,-13.95336139,194.0620999,1.518620524,16.07153802
23,-13.95336139,196.0627401,1.518620524,11.41024743
23,-12.13899241,196.0627401,2.512347074,8.307922725
23,-12.13899241,198.0633803,2.512347074,11.48405159
24,-12.09579315,196.0627401,2.421419457,11.84055389
24,-12.09579315,198.0633803,2.421419457,9.424307398
25,-14.99014366,186.0595391,0.534790795,14.62810555
25,-14.99014366,188.0601793,0.534790795,16.02192948
25,-14.99014366,190.0608195,0.534790795,7.443288714
25,-13.95336139,192.0614597,1.518620524,9.451233994
25,-13.95336139,194.0620999,1.518620524,16.41661562
25,-13.95336139,196.0627401,1.428872796,11.81963086
25,-13.95336139,192.0614597,1.518620524,9.444515801
25,-13.95336139,194.0620999,1.518620524,16.07153802
25,-13.95336139,196.0627401,1.518620524,11.41024743
25,-12.09579315,194.0620999,2.694626593,8.567718098
25,-12.09579315,196.0627401,2.603414232,11.57407992
25,-12.09579315,198.0633803,2.330625791,7.24748583
26,-14.99014366,184.0588988,0.534790795,13.20903498
26,-14.99014366,186.0595391,0.534790795,17.19683131
26,-14.99014366,188.0601793,0.534790795,9.658362529
26,-13.95336139,188.0601793,1.518620524,11.46869596
26,-13.95336139,190.0608195,1.428872796,9.738600784
26,-13.95336139,192.0614597,1.518620524,9.444515801
26,-13.95336139,194.0620999,1.518620524,16.07153802
26,-13.95336139,196.0627401,1.518620524,11.41024743
26,-12.09579315,194.0620999,2.694626593,8.567718098
26,-12.09579315,196.0627401,2.603414232,11.57407992
26,-12.09579315,192.0614597,2.694626593,8.942909754
26,-12.09579315,194.0620999,2.785989899,8.24681928
27,-14.99014366,186.0595391,0.534790795,14.62810555
27,-14.99014366,188.0601793,0.534790795,16.02192948
27,-14.99014366,190.0608195,0.534790795,7.443288714
27,-14.99014366,184.0588988,0.534790795,13.20903498
27,-14.99014366,186.0595391,0.534790795,17.19683131
27,-14.99014366,188.0601793,0.534790795,9.658362529
27,-13.95336139,186.0595391,1.428872796,6.290063807
27,-13.95336139,188.0601793,1.518620524,8.153502795
27,-12.09579315,194.0620999,2.694626593,8.567718098
27,-12.09579315,196.0627401,2.603414232,11.57407992
27,-12.09579315,192.0614597,2.694626593,8.942909754
27,-12.09579315,194.0620999,2.785989899,8.24681928
27,-12.18219167,192.0614597,2.512347074,11.53880954
27,-12.18219167,194.0620999,2.421419457,11.34269889
28,-14.99014366,184.0588988,0.534790795,13.20903498
28,-14.99014366,186.0595391,0.534790795,17.19683131
28,-14.99014366,188.0601793,0.534790795,9.658362529
28,-13.95336139,186.0595391,1.428872796,6.290063807
28,-13.95336139,188.0601793,1.518620524,8.153502795
28,-15.03334292,182.0582586,0.534790795,12.50909784
28,-15.03334292,184.0588988,0.534790795,10.54093531
29,-13.95336139,186.0595391,1.428872796,6.290063807
29,-13.95336139,188.0601793,1.518620524,8.153502795
29,-15.03334292,182.0582586,0.534790795,12.50909784
29,-15.03334292,184.0588988,0.534790795,10.54093531
29,-14.9469444,180.0576184,0.534790795,12.0061087
29,-14.9469444,182.0582586,0.534790795,12.84427857
29,-13.91016213,184.0588988,1.518620524,13.76313998
29,-13.91016213,186.0595391,1.60844964,11.44467317
29,-12.09579315,192.0614597,2.694626593,8.942909754
29,-12.09579315,194.0620999,2.785989899,8.24681928
29,-12.18219167,192.0614597,2.512347074,11.53880954
29,-12.18219167,194.0620999,2.421419457,11.34269889
29,-12.09579315,190.0608195,2.421419457,11.97651435
29,-12.09579315,192.0614597,2.421419457,8.030837881
30,-15.03334292,182.0582586,0.534790795,12.50909784
30,-15.03334292,184.0588988,0.534790795,10.54093531
30,-14.9469444,180.0576184,0.534790795,12.0061087
30,-14.9469444,182.0582586,0.534790795,12.84427857
30,-14.9469444,178.0569782,0.534790795,7.939441549
30,-14.9469444,180.0576184,0.534790795,11.75350939
30,-13.86696286,182.0582586,1.878475835,7.187193401
30,-13.86696286,184.0588988,1.878475835,8.959702101
30,-12.18219167,192.0614597,2.512347074,11.53880954
30,-12.18219167,194.0620999,2.421419457,11.34269889
30,-12.09579315,190.0608195,2.421419457,11.97651435
30,-12.09579315,192.0614597,2.421419457,8.030837881
30,-12.13899241,190.0608195,2.694626593,16.21609445
30,-12.13899241,192.0614597,2.694626593,12.38460495
31,-14.9469444,180.0576184,0.534790795,12.0061087
31,-14.9469444,182.0582586,0.534790795,12.84427857
31,-14.9469444,178.0569782,0.534790795,7.939441549
31,-14.9469444,180.0576184,0.534790795,11.75350939
31,-14.9469444,176.056338,0.534790795,6.775094803
31,-14.9469444,178.0569782,0.534790795,12.93036003
31,-14.9469444,180.0576184,0.534790795,8.414110097
32,-14.9469444,178.0569782,0.534790795,7.939441549
32,-14.9469444,180.0576184,0.534790795,11.75350939
32,-14.9469444,176.056338,0.534790795,6.775094803
32,-14.9469444,178.0569782,0.534790795,12.93036003
32,-14.9469444,180.0576184,0.534790795,8.414110097
32,-14.90374513,176.056338,0.713229483,8.887303152
32,-14.90374513,178.0569782,0.802502889,8.554316034
32,-12.09579315,190.0608195,2.421419457,11.97651435
32,-12.09579315,192.0614597,2.421419457,8.030837881
32,-12.13899241,190.0608195,2.694626593,16.21609445
32,-12.13899241,192.0614597,2.694626593,12.38460495
32,-12.09579315,186.0595391,2.785989899,8.647469176
32,-12.09579315,188.0601793,2.785989899,7.066287855
33,-14.9469444,176.056338,0.534790795,6.775094803
33,-14.9469444,178.0569782,0.534790795,12.93036003
33,-14.9469444,180.0576184,0.534790795,8.414110097
33,-14.90374513,176.056338,0.713229483,8.887303152
33,-14.90374513,178.0569782,0.802502889,8.554316034
33,-15.03334292,174.0556978,0.445616044,6.198530249
33,-15.03334292,176.056338,0.445616044,8.119185466
33,-13.91016213,178.0569782,1.788372201,12.96565147
33,-13.91016213,180.0576184,1.788372201,13.72130787
33,-12.13899241,190.0608195,2.694626593,16.21609445
33,-12.13899241,192.0614597,2.694626593,12.38460495
33,-12.09579315,186.0595391,2.785989899,8.647469176
33,-12.09579315,188.0601793,2.785989899,7.066287855
33,-12.22539094,184.0588988,2.512347074,9.626726661
33,-12.22539094,186.0595391,2.512347074,9.667643193
34,-14.90374513,176.056338,0.713229483,8.887303152
34,-14.90374513,178.0569782,0.802502889,8.554316034
34,-15.03334292,174.0556978,0.445616044,6.198530249
34,-15.03334292,176.056338,0.445616044,8.119185466
34,-14.99014366,172.0550576,0.534790795,10.9461543
34,-14.99014366,174.0556978,0.534790795,14.99070295
34,-14.99014366,176.056338,0.534790795,8.602403414
34,-13.86696286,182.0582586,1.878475835,7.187193401
34,-13.86696286,184.0588988,1.878475835,8.959702101
34,-13.91016213,178.0569782,1.788372201,12.96565147
34,-13.91016213,180.0576184,1.788372201,13.72130787
34,-13.95336139,176.056338,1.878475835,7.753765621
34,-13.95336139,178.0569782,1.968681243,11.12916277
34,-12.09579315,186.0595391,2.785989899,8.647469176
34,-12.09579315,188.0601793,2.785989899,7.066287855
34,-12.22539094,184.0588988,2.512347074,9.626726661
34,-12.22539094,186.0595391,2.512347074,9.667643193
34,-12.18219167,184.0588988,2.694626593,14.33182602
34,-12.18219167,186.0595391,2.694626593,14.94610668
35,-15.03334292,174.0556978,0.445616044,6.198530249
35,-15.03334292,176.056338,0.445616044,8.119185466
35,-14.99014366,172.0550576,0.534790795,10.9461543
35,-14.99014366,174.0556978,0.534790795,14.99070295
35,-14.99014366,176.056338,0.534790795,8.602403414
35,-15.03334292,170.0544174,0.445616044,6.155701443
35,-15.03334292,172.0550576,0.445616044,10.74347958
35,-12.22539094,184.0588988,2.512347074,9.626726661
35,-12.22539094,186.0595391,2.512347074,9.667643193
35,-12.18219167,184.0588988,2.694626593,14.33182602
35,-12.18219167,186.0595391,2.694626593,14.94610668
35,-12.09579315,182.0582586,2.785989899,10.46186698
35,-12.09579315,184.0588988,2.694626593,9.880655366
35,-12.09579315,186.0595391,2.603414232,7.664506337
36,-14.99014366,172.0550576,0.534790795,10.9461543
36,-14.99014366,174.0556978,0.534790795,14.99070295
36,-14.99014366,176.056338,0.534790795,8.602403414
36,-15.03334292,170.0544174,0.445616044,6.155701443
36,-15.03334292,172.0550576,0.445616044,10.74347958
36,-15.03334292,170.0544174,0.623993699,8.923073634
36,-15.03334292,172.0550576,0.623993699,8.768590452
36,-13.91016213,178.0569782,1.788372201,12.96565147
36,-13.91016213,180.0576184,1.788372201,13.72130787
36,-13.95336139,176.056338,1.878475835,7.753765621
36,-13.95336139,178.0569782,1.968681243,11.12916277
36,-13.91016213,174.0556978,1.698365175,6.631830533
36,-13.91016213,176.056338,1.698365175,6.405192985
37,-15.03334292,170.0544174,0.445616044,6.155701443
37,-15.03334292,172.0550576,0.445616044,10.74347958
37,-15.03334292,170.0544174,0.623993699,8.923073634
37,-15.03334292,172.0550576,0.623993699,8.768590452
37,-14.99014366,168.0537772,0.713229483,13.66233892
37,-14.99014366,170.0544174,0.713229483,15.75910497
37,-14.99014366,172.0550576,0.713229483,7.453527802
37,-13.95336139,176.056338,1.878475835,7.753765621
37,-13.95336139,178.0569782,1.968681243,11.12916277
37,-13.91016213,174.0556978,1.698365175,6.631830533
37,-13.91016213,176.056338,1.698365175,6.405192985
37,-13.91016213,172.0550576,1.698365175,10.43324024
37,-13.91016213,174.0556978,1.698365175,12.11451874
37,-12.18219167,184.0588988,2.694626593,14.33182602
37,-12.18219167,186.0595391,2.694626593,14.94610668
37,-12.09579315,182.0582586,2.785989899,10.46186698
37,-12.09579315,184.0588988,2.694626593,9.880655366
37,-12.09579315,186.0595391,2.603414232,7.664506337
37,-12.13899241,178.0569782,2.694626593,14.24053805
37,-12.13899241,180.0576184,2.694626593,21.89905386
37,-12.13899241,182.0582586,2.694626593,17.8633837
38,-13.91016213,174.0556978,1.698365175,6.631830533
38,-13.91016213,176.056338,1.698365175,6.405192985
38,-13.91016213,172.0550576,1.698365175,10.43324024
38,-13.91016213,174.0556978,1.698365175,12.11451874
38,-13.91016213,170.0544174,1.788372201,8.706010084
38,-13.91016213,172.0550576,1.788372201,14.04136626
38,-13.91016213,174.0556978,1.788372201,9.478646095
38,-12.09579315,182.0582586,2.785989899,10.46186698
38,-12.09579315,184.0588988,2.694626593,9.880655366
38,-12.09579315,186.0595391,2.603414232,7.664506337
38,-12.13899241,178.0569782,2.694626593,14.24053805
38,-12.13899241,180.0576184,2.694626593,21.89905386
38,-12.13899241,182.0582586,2.694626593,17.8633837
38,-12.18219167,178.0569782,2.694626593,15.32117794
38,-12.18219167,180.0576184,2.694626593,13.72620186
39,-15.03334292,170.0544174,0.623993699,8.923073634
39,-15.03334292,172.0550576,0.623993699,8.768590452
39,-14.99014366,168.0537772,0.713229483,13.66233892
39,-14.99014366,170.0544174,0.713229483,15.75910497
39,-14.99014366,172.0550576,0.713229483,7.453527802
39,-14.99014366,166.053137,0.534790795,11.54600569
39,-14.99014366,168.0537772,0.623993699,8.138307107
39,-13.91016213,172.0550576,1.698365175,10.43324024
39,-13.91016213,174.0556978,1.698365175,12.11451874
39,-13.91016213,170.0544174,1.788372201,8.706010084
39,-13.91016213,172.0550576,1.788372201,14.04136626
39,-13.91016213,174.0556978,1.788372201,9.478646095
39,-13.95336139,170.0544174,1.788372201,13.82541354
39,-13.95336139,172.0550576,1.878475835,12.2805083
39,-12.13899241,178.0569782,2.694626593,14.24053805
39,-12.13899241,180.0576184,2.694626593,21.89905386
39,-12.13899241,182.0582586,2.694626593,17.8633837
39,-12.18219167,178.0569782,2.694626593,15.32117794
39,-12.18219167,180.0576184,2.694626593,13.72620186
39,-12.09579315,176.056338,2.603414232,9.191755711
39,-12.09579315,178.0569782,2.512347074,15.12306183
39,-12.09579315,180.0576184,2.512347074,12.00849207
40,-14.99014366,168.0537772,0.713229483,13.66233892
40,-14.99014366,170.0544174,0.713229483,15.75910497
40,-14.99014366,172.0550576,0.713229483,7.453527802
40,-14.99014366,166.053137,0.534790795,11.54600569
40,-14.99014366,168.0537772,0.623993699,8.138307107
40,-14.9469444,164.0524968,0.713229483,6.519056451
40,-14.9469444,166.053137,0.713229483,6.4265868
40,-13.91016213,170.0544174,1.788372201,8.706010084
40,-13.91016213,172.0550576,1.788372201,14.04136626
40,-13.91016213,174.0556978,1.788372201,9.478646095
40,-13.95336139,170.0544174,1.788372201,13.82541354
40,-13.95336139,172.0550576,1.878475835,12.2805083
40,-13.91016213,170.0544174,1.788372201,14.09864129
40,-13.91016213,172.0550576,1.878475835,12.70781861
40,-12.18219167,178.0569782,2.694626593,15.32117794
40,-12.18219167,180.0576184,2.694626593,13.72620186
40,-12.09579315,176.056338,2.603414232,9.191755711
40,-12.09579315,178.0569782,2.512347074,15.12306183
40,-12.09579315,180.0576184,2.512347074,12.00849207
40,-12.18219167,174.0556978,2.694626593,6.689499646
40,-12.18219167,176.056338,2.603414232,15.68201968
40,-12.18219167,178.0569782,2.694626593,12.95232832
41,-12.09579315,176.056338,2.603414232,9.191755711
41,-12.09579315,178.0569782,2.512347074,15.12306183
41,-12.09579315,180.0576184,2.512347074,12.00849207
41,-12.18219167,174.0556978,2.694626593,6.689499646
41,-12.18219167,176.056338,2.603414232,15.68201968
41,-12.18219167,178.0569782,2.694626593,12.95232832
41,-12.13899241,176.056338,2.603414232,9.00676145
41,-12.13899241,178.0569782,2.694626593,7.821517451
42,-14.99014366,166.053137,0.534790795,11.54600569
42,-14.99014366,168.0537772,0.623993699,8.138307107
42,-14.9469444,164.0524968,0.713229483,6.519056451
42,-14.9469444,166.053137,0.713229483,6.4265868
42,-15.03334292,160.0512164,0.623993699,9.084808928
42,-15.03334292,162.0518566,0.713229483,12.87156667
42,-13.95336139,170.0544174,1.788372201,13.82541354
42,-13.95336139,172.0550576,1.878475835,12.2805083
42,-13.91016213,170.0544174,1.788372201,14.09864129
42,-13.91016213,172.0550576,1.878475835,12.70781861
