帧号,车辆ID,速度(m/s),距离(m),角度(deg)
81,248,0.967830860401405,10.633078614572467,-55.37653308999277
82,248,2.908561195172864,10.827791913093865,-53.91126066891603
83,248,4.687655217159051,11.20885020022867,-51.31858230204816
83,250,0.06228559328673074,7.972701903088346,-41.18534323761443
84,248,6.268435138180611,11.75866973122997,-48.08458070000042
84,249,1.5401832525940617,6.2885637265512235,-16.157751879493386
84,250,2.099743686375805,8.08147141851854,-40.51402574711802
85,248,7.595325950671311,12.453080889813473,-44.63898539010082
85,249,4.413924783938047,6.589629809067567,-15.400752988671163
85,250,3.9977738906408655,8.388299947125333,-38.74620051223614
86,248,8.779892312798099,13.27624886912012,-41.22911423692759
86,249,6.716128271130966,7.1493500296826245,-14.168684833825
86,250,5.654504381828084,8.873551616185466,-36.273889991641305
87,248,9.672118721347902,14.19885385599216,-38.04257991303756
87,249,8.530917815022093,7.917802667090408,-12.769003383121197
87,250,7.058195072570962,9.512872595440745,-33.496343747389574
88,248,10.403111970212166,15.202932754372728,-35.137937169349684
88,249,9.830051679679048,8.839563092376574,-11.41848478577471
88,250,8.140630746025984,10.274059830043162,-30.730173042317833
89,248,11.087586518624365,16.281835087530077,-32.5074121621869
89,249,10.731975904620596,9.869027585497394,-10.213837882608997
89,250,9.005078731563286,11.132944879374836,-28.13647398803583
90,248,11.556591609845144,17.413254454082825,-30.16492666326678
90,249,11.463626456212541,10.983456301880667,-9.16804039145237
90,250,9.623591584036316,12.062990627240818,-25.7990046452002
91,248,11.97274266909448,18.590638045833114,-28.077602229824002
91,249,11.90221681712818,12.15045739953549,-8.280967915137387
91,250,10.177626645796085,13.055194778714714,-23.711951720579727
92,248,12.294093942310504,19.803676912336464,-26.221156866116786
92,249,12.233924962658238,13.356565305051413,-7.528636893842074
92,250,10.628229117897234,14.097663057283564,-21.863840437065445
93,248,12.57406753385393,21.047486490656556,-24.565082289762184
93,249,12.493351769348628,14.592776078901354,-6.887621198557627
93,250,10.585763787137346,14.097663057283564,-21.863840437065445
94,248,12.827524688922573,22.31881192025655,-23.081864921340514
94,249,12.73734400753068,15.856281173874104,-6.336434909486978
94,250,11.284546384117357,16.288835243658728,-18.802479096514062
95,248,13.025865752679989,23.611780788203436,-21.751251466418733
95,249,12.884175728171959,17.136663673876342,-5.861275751631985
95,250,11.1993729332959,16.288835243658728,-18.802479096514062
