帧号,车辆ID,速度(m/s),距离(m),角度(deg)
71,275,-2.4211088575448985,228.23645861588435,-8.222295674613619
71,276,-2.4288665916891388,227.90891475119554,-7.325587408674058
71,277,-2.32142926775829,229.20769143411331,-6.486012160945978
72,275,-2.612894836413906,227.9751621058434,-8.21443765684701
72,276,-2.5851649888593564,227.65040031932548,-7.316767129870861
72,277,-2.5634598596923315,228.95134685137484,-6.476357083315073
73,275,-2.745237021724243,227.70063968330862,-8.20616219704713
73,276,-2.8291744988050698,227.36747184268387,-7.307090530026358
73,277,-2.69246931671567,228.68210289384643,-6.466192462736976
74,275,-2.935538629823348,227.40707706109256,-8.197290357713959
74,276,-3.027130857668921,227.0647594043442,-7.296710179487157
74,277,-2.9191817073060466,228.3901677257095,-6.4551436612105855
75,275,-3.1084001979525393,227.09624297316452,-8.187871203502322
75,276,-3.2820116036206493,226.73655202318224,-7.285423785197504
75,277,-3.09219441585906,228.3901677257095,-6.4551436612105855
76,275,-3.304955308883615,226.76573741315963,-8.177827227334607
76,276,-3.427679647981224,226.3937805585885,-7.273601094089317
76,277,-3.2881684293836293,228.08095926077172,-6.443409761867095
77,275,-3.4882922059273196,226.76573741315963,-8.177827227334607
77,276,-3.5950201783159783,226.3937805585885,-7.273601094089317
77,277,-3.5148695778326284,227.4006531579569,-6.417479157933993
78,271,-2.1689352820760806,24.524744599498675,42.73833822564638
78,275,-3.6379784045372645,226.05310451773548,-8.156069165481144
78,276,-3.750133897725011,225.65926196922612,-7.248143670484692
78,277,-3.750632936985766,227.02559028867506,-6.403115654189391
79,271,-1.3184913742589663,24.349951262634622,41.91594233529422
79,272,-2.430548173277922,27.205902277832735,48.57392648012695
79,275,-3.84122207879176,225.66898716107963,-8.144283520429209
79,276,-3.9058810914969095,225.26866437172433,-7.234537431663801
79,277,-3.999344555694435,226.62563943828596,-6.3877457692416755
80,270,-2.2610322493210124,29.803451173526504,52.73006400869612
80,271,-0.44906327667943385,24.261550633582477,40.915649939468224
80,272,-1.8242188862592528,26.99352641048179,48.01736783401902
80,275,-4.097840724488729,225.25919545002483,-8.131665185547636
80,276,-4.050290544624952,224.8636309389,-7.220377637539226
80,277,-4.137856674526686,226.21184324505975,-6.371785642362237
81,270,-1.630132792744887,29.608579592889143,52.08306796988873
81,271,0.4241837905729386,24.26030421952038,39.750991361769216
81,272,-1.2118802901620593,26.842152786118675,47.32230924427015
81,275,-4.2915237801834065,224.8300295387646,-8.118400269930326
81,276,-4.275985553441742,224.43601088000364,-7.205371905204161
81,277,-4.3535178195462985,225.77645937759945,-6.354928644372261
82,270,-0.9850637433370774,29.477620432173524,51.27962803220494
82,271,1.2935491064502402,24.346274411360373,38.44155511458091
82,272,-0.6016445993092793,26.751365674267287,46.49034225094985
82,275,-4.487890546569079,224.8300295387646,-8.118400269930326
82,276,-4.500563236955867,223.98594318433655,-7.189515610280346
82,277,-4.504370058204721,225.32603289867046,-6.337419505086231
83,270,-0.33020977356792214,29.411715328879858,50.327271160891534
83,271,2.143028365579632,24.518122334533825,37.01468311040164
83,272,0.01857693285363838,26.721975518952725,45.523351062513974
83,275,-4.622273778871968,224.38125024355708,-8.104474088178842
83,276,-4.720339156337097,223.98594318433655,-7.189515610280346
83,277,-4.69538891716399,224.8564767399548,-6.319090791639869
84,270,0.32930318930190533,29.411664926401155,49.23971712494372
84,271,2.9751897131985814,24.774307535189433,35.493171751020036
84,272,0.6342396891641927,26.754629137559206,44.44690779475184
84,275,-4.860801866401571,223.43292490589292,-8.07485973538601
84,276,-4.919172924113128,223.02199006229844,-7.155335981669136
84,277,-4.838272323440605,224.37263605607856,-6.300122864077022
85,270,0.986716691255901,29.477503642957146,48.03267938566813
