帧号,车辆ID,速度(m/s),距离(m),角度(deg),Yaw(deg)
19,16,-14.989747612969486,199.07555091693925,0.5036726262865496,-180.0
20,16,-15.043562869786118,197.5711868154056,0.5075078351146199,-180.0
20,19,-13.856139581222449,199.921948106084,1.5047743798617554,-180.0
21,16,-14.979915268759056,196.0731862448613,0.5113853012425487,-180.0
21,19,-13.93824684303326,198.52811467210125,1.5153416101330826,-180.0
22,16,-14.982342447279228,194.57495330074272,0.5153230890909377,-180.0
22,19,-13.93699136396761,197.13440377015436,1.526057375012695,-180.0
23,15,-12.143825017536685,200.1184432111724,2.50600565886532,-180.0
23,16,-14.919820581347258,193.08295459601095,0.5193052239025754,-180.0
23,19,-13.931913708472452,197.13440377015436,1.526057375012695,-180.0
24,15,-12.094870694616796,198.90895243106672,2.521253553240192,-180.0
24,16,-15.02512808002621,191.580437398614,0.5233781170373273,-180.0
24,19,-13.910942568775493,194.3501180466396,1.547925159580056,-180.0
25,15,-12.08629532148147,197.70031304030903,2.536677266201913,-180.0
25,16,-14.99268181991892,190.08117349600863,0.5275063743955088,-180.0
25,19,-13.919252317057516,192.95817935889744,1.5590941443486936,-180.0
26,15,-12.083297035186751,196.49197686691755,2.552286970852553,-180.0
26,16,-14.990504281354731,188.58211302295712,0.5316997019230354,-180.0
26,19,-13.963919119952635,191.56177564563524,1.5704621130048435,-180.0
27,15,-12.158323160237844,195.27612809429945,2.568188906623398,-180.0
27,16,-14.990370633083224,187.08305802858635,0.5359602173235873,-180.0
27,19,-13.948153997112046,190.16695986892248,1.5819838837895406,-180.0
28,15,-12.195335052594974,194.05657654050896,2.58433964951471,-180.0
28,16,-15.030220783366204,185.58003617089568,0.5403011136899755,-180.0
28,19,-13.894330109270772,188.7775207851708,1.5936305838728595,-180.0
29,15,-12.078623515546765,192.84871087711892,2.6005371844025227,-180.0
29,16,-14.92081656915624,184.08795475566896,0.5446805280850456,-180.0
29,19,-13.879569481628415,187.38955586981595,1.6054374332810757,-180.0
30,15,-12.129469630610672,191.6357490907576,2.61700874953573,-180.0
30,16,-14.919755651910444,182.5959711716784,0.5491312242512311,-180.0
30,19,-13.86675482418311,186.00286729109223,1.6174094589518753,-180.0
31,15,-12.143436128271688,190.42139404611987,2.633709661116028,-180.0
31,16,-14.918469150628605,181.10411626084843,0.5536548625084161,-180.0
31,19,-13.94437999479942,184.60842301908085,1.62962988429099,-180.0
32,15,-12.104685911968014,189.2109175168387,2.65057080586091,-180.0
32,16,-14.914737467695783,179.6126267441294,0.5582525150373374,-180.0
32,19,-13.961810991631566,183.2122300865916,1.6420520817921578,-180.0
33,15,-12.205008510967897,187.99040304526352,2.667791857066032,-180.0
33,16,-15.035424363861225,178.10908234903766,0.5629652693119374,-180.0
33,19,-13.893877220676424,181.82283334912967,1.6546032767049164,-180.0
34,15,-12.16798910697846,186.77358532421647,2.685185041399234,-180.0
34,16,-15.000129631972108,176.60906855103275,0.5677469218183632,-180.0
34,19,-13.927789089531805,180.43004243450196,1.6673792238677834,-180.0
35,15,-12.08684438101064,185.56489004587849,2.7026882017899023,-180.0
35,16,-15.017859041209862,175.10726371516628,0.5726163562592922,-180.0
35,19,-13.845110782831126,179.04551937003674,1.6802764161027026,-180.0
36,15,-12.110646133281143,184.35381369543745,2.720456294443626,-180.0
36,16,-15.02120229960487,173.60513220978058,0.5775711295978543,-180.0
36,19,-13.920635118216186,177.65344922045537,1.693446671736267,-180.0
37,15,-12.129419151920205,183.14085963767477,2.73848774419302,-180.0
37,16,-14.981723613010915,172.10695936821458,0.5825989976073284,-180.0
37,19,-13.905183162303336,176.26291778043685,1.7068101457025933,-180.0
38,15,-12.188320010004944,181.9220146814278,2.756849247092457,-180.0
38,16,-14.916252138439516,170.6153225028419,0.5876926578696514,-180.0
38,19,-13.8870021634876,174.87419987385456,1.7203683926141078,-180.0
39,15,-12.09526267601469,180.71246655109064,2.775315839832616,-180.0
39,16,-14.991343671723955,169.11617809342025,0.5929024934019592,-180.0
39,19,-13.960529723088626,173.47813510841115,1.7342172645603509,-180.0
40,15,-12.179028000003736,179.49456114490712,2.79416178807283,-180.0
40,16,-14.92929514395748,167.62323499693358,0.5981833943748517,-180.0
40,19,-13.906370729220608,173.47813510841115,1.7342172645603509,-180.0
41,15,-12.120582475155508,178.28248800693146,2.81317343290385,-180.0
41,16,-15.007372957624405,166.12249582037907,0.6035875409468682,-180.0
41,19,-13.936987126655431,170.69380526444613,1.7625143916624624,-180.0
42,15,-12.158864211738909,177.066583002737,2.832507015595197,-180.0
42,16,-15.037954160396426,164.61868818575854,0.6091015782815411,-180.0
42,19,-13.960830022206403,169.29770677663288,1.7770534531027586,-180.0
43,15,-12.114256474855674,175.8551403029057,2.8520358569713613,-180.0
43,16,-14.99931190198606,163.11875039800762,0.6147027085417173,-180.0
43,19,-13.93098731576776,167.9045983653853,1.7918024961597805,-180.0
44,15,-12.172916677804029,174.6378338466031,2.871932474005718,-180.0
44,16,-15.031876307506382,161.61555470442266,0.6204203167022783,-180.0
44,19,-13.956771561133916,166.5088945732786,1.8068266269441144,-180.0
45,15,-12.172320392924645,173.42058928433255,2.892107736195969,-180.0
45,16,-14.969184995884834,160.1186236650532,0.6262207865010783,-180.0
45,19,-13.911058122932053,165.1177823420437,1.8220541976997569,-180.0
46,15,-12.165859264944968,172.2039860127124,2.912557732736776,-180.0
46,16,-14.977731214467562,158.62084490672092,0.6321341207338682,-180.0
46,19,-13.941352967786049,163.72363412186385,1.8375747501070323,-180.0
47,15,-12.092821958828177,170.99468752504217,2.933173700523214,-180.0
47,16,-15.028716187177256,157.11794999925937,0.6381809807813751,-180.0
47,19,-13.9209822900457,162.3315182297786,1.8533388224049567,-180.0
48,15,-12.139298177750808,169.7807391816526,2.954164708022053,-180.0
48,16,-14.936836515081136,155.6242562571572,0.6443065485594757,-180.0
48,19,-13.833970855101215,160.94811041745942,1.8692745769530217,-180.0
49,15,-12.131404014548403,168.56757867893754,2.97544453911054,-180.0
49,16,-14.997386553229134,154.12451767470125,0.6505763668473912,-180.0
49,19,-13.90979338385656,159.5571196107015,1.8855764429269464,-180.0
50,15,-12.096020897792732,167.3579553633363,2.996969905603305,-180.0
50,16,-14.92570217084381,152.6319230092735,0.6569386608153851,-180.0
50,17,1.48770682302701,6.287395760592723,-16.16083559998056,-3.0517578125e-05
50,19,-13.8992449590763,158.16718019680218,1.9021525499217984,-180.0
51,15,-12.108350540781194,166.1471034317891,3.01883147458736,-180.0
51,16,-14.914369967611936,151.14048104559154,0.6634215663530847,-180.0
51,17,4.237465974692745,6.576516807220801,-15.432224694984637,-3.0517578125e-05
51,19,-13.918105364298732,156.77534415874572,1.919045962401692,-180.0
52,15,-12.187459262146715,164.92834665366303,3.0411603690827897,-180.0
52,16,-14.987304565276183,149.6417312205463,0.6700664244170932,-180.0
52,17,6.5563217976678745,7.121694400399087,-14.22486264709553,-3.0517578125e-05
52,19,-13.872950767608396,155.38804319389067,1.9361856575685463,-180.0
53,15,-12.133667527033955,163.71495664942964,3.063721665237205,-180.0
53,16,-14.948518427746944,148.14686466543915,0.6768280001787821,-180.0
53,17,8.284112336596232,7.867188679559259,-12.85255492462578,-3.0517578125e-05
53,19,-13.885142627608614,153.99951014116013,1.9536499696993028,-180.0
54,15,-12.172599484345184,162.49767620595608,3.086694345380637,-180.0
54,16,-14.987069484094151,146.64815279593338,0.6837453601983569,-180.0
54,17,9.582980280431205,8.764879273749209,-11.51710551559305,-3.0517578125e-05
54,19,-13.842184403330858,152.61527736238642,1.9713766955656988,-180.0
55,15,-12.15919628490059,161.28173660212883,3.1099884299190497,-180.0
55,16,-15.000014431870753,145.1481272720102,0.6908118305615092,-180.0
55,17,10.46965525390083,9.768398797118476,-10.320202095581031,-3.0517578125e-05
55,19,-13.941861797632695,151.22106785928324,1.989559428576816,-180.0
56,15,-12.073287406603349,160.07439342392342,3.133468495074766,-180.0
56,16,-14.954407433483576,143.6526733597004,0.6980036779345704,-180.0
56,17,11.20474339328527,10.856962433406338,-9.275794215249723,-3.0517578125e-05
56,19,-13.92941779274716,149.82811316052425,2.008063940991756,-180.0
57,15,-12.139532067175686,158.86041438477554,3.1574380018989934,-180.0
57,16,-15.033517292726373,142.14931064425937,0.7053860946472995,-180.0
57,17,11.69765122962192,12.003266105434877,-8.383240504966171,-3.0517578125e-05
57,19,-13.925611302173952,148.43553044555392,2.026910889721669,-180.0
58,15,-12.08496326901702,157.65188911154715,3.181667053222501,-180.0
58,16,-15.0283340872975,140.6464589046395,0.712923754331798,-180.0
58,17,12.03683938376674,13.189451723094797,-7.624590041851636,-3.0517578125e-05
58,19,-13.906768434147176,147.044836748041,2.04608875072404,-180.0
59,15,-12.195002962322857,156.43237644783136,3.206496461596598,-180.0
59,16,-14.970274423137772,139.14941618583285,0.7205941658990002,-180.0
59,17,12.320279304789535,14.408146464585608,-6.976316852278691,-3.0517578125e-05
59,19,-13.952950847253346,145.6495196422941,2.065698663546108,-180.0
59,20,0.5267916627711556,10.620557097520877,-55.47448952273793,-3.0517578125e-05
60,15,-12.195344978163323,155.21282399094554,3.2317174874980377,-180.0
60,16,-14.918141723484604,137.65758866645382,0.7284038320795463,-180.0
60,17,12.491929099626104,15.647050138517669,-6.421519359391276,-3.0517578125e-05
60,18,1.4125728077834756,8.034335227774415,-40.801882482113946,-3.0517578125e-05
60,19,-13.836775634563558,144.26582166741863,2.0855201292860013,-180.0
60,20,1.7530192747575606,10.73473844285349,-54.59830759000496,-3.0517578125e-05
61,15,-12.101136615372056,154.00268598753485,3.2571392904130203,-180.0
61,16,-14.97833346677733,136.15973557041153,0.73641722668935,-180.0
61,17,12.645355116407735,16.90348471283987,-5.942419611304012,-3.0517578125e-05
61,18,2.9557389205194733,8.253810871424976,-39.49937629555004,-3.0517578125e-05
61,19,-13.833202721605028,142.88247285990005,2.10572061366929,-180.0
61,20,2.9267964672072124,10.96942808071732,-52.908317446284926,-3.0517578125e-05
62,15,-12.123517268059103,152.79031003808538,3.2830125778064843,-180.0
62,16,-14.950832803696532,134.66463421705097,0.744593687009703,-180.0
62,17,12.806847868751545,18.177678209105263,-5.524531094012028,-3.0517578125e-05
62,18,4.344370684450913,8.620352913779664,-37.51895002752776,-3.0517578125e-05
62,19,-13.948061930880815,141.4876561839546,2.1264887643043497,-180.0
62,20,4.012181611604992,11.31729604707107,-50.63786488503221,-3.0517578125e-05
63,15,-12.113072645593991,151.57897769934894,3.3092776300412106,-180.0
63,16,-14.965015737650615,133.1681169016815,0.7529617646468871,-180.0
63,17,12.973168075698524,19.469670089921618,-5.15689878900522,-3.0517578125e-05
63,18,5.532071836884881,9.115599981971418,-35.16519038279694,-3.0517578125e-05
63,19,-13.913053624423297,140.09632239868964,2.147617336240281,-180.0
63,20,5.005666873945961,11.769768319083012,-48.02443276511061,-3.0517578125e-05
64,15,-12.10563528603586,150.3683931748124,3.335949958429468,-180.0
64,16,-14.969328528463253,131.67116422700107,0.7615225921974371,-180.0
64,17,13.02663142604179,20.76798740721653,-4.833720804993,-3.0517578125e-05
64,18,6.554052421694197,9.722508262885572,-32.68255735268743,-3.0517578125e-05
64,19,-13.916758476902796,138.70462982142365,2.16917569953286,-180.0
64,20,5.83984635425042,12.311883596912512,-45.2915295492052,-3.0517578125e-05
65,15,-12.087317844942394,149.15963055984244,3.3630148553633936,-180.0
65,16,-14.913917721580743,130.17975586822217,0.7702475217202619,-180.0
65,17,13.149716370454632,22.07933176661257,-4.54601139287128,-3.0517578125e-05
65,18,7.299894846315682,10.41360929420357,-30.274809122846914,-3.0517578125e-05
65,19,-13.897210941894036,137.31488004799527,2.1911403587006104,-180.0
65,20,6.609711604504817,12.936350867986596,-42.56207449864257,-3.0517578125e-05
66,15,-12.165420646403067,147.94306449313655,3.390701810670286,-180.0
66,16,-14.986366418659546,128.68109427485282,0.7792186230960957,-180.0
66,17,13.14052805251503,23.390375588075923,-4.29071321028814,-3.0517578125e-05
