帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
100,-11.706999800937805,190.06081946222795,2.6946265931076465,8.828478516209694
100,-11.706999800937805,192.0614596670935,2.78598989856488,10.735732885521209
100,-10.324623440679469,196.0627400768246,1.4288727962437768,9.932505643655034
100,-10.324623440679469,198.06338028169017,1.4288727962437768,16.160540441261688
100,-10.324623440679469,200.0640204865557,1.4288727962437768,11.132128220856284
100,-8.251058900291959,198.06338028169017,0.5347907946316289,6.1269832710841685
100,-8.251058900291959,200.0640204865557,0.5347907946316289,11.52420066848935
100,-8.251058900291959,202.06466069142127,0.5347907946316289,7.285392139252781
100,-7.041479585065911,216.06914212548017,0.2673321658219647,6.674622425266491
100,-7.041479585065911,218.06978233034573,0.2673321658219647,7.561307267838991
100,6.583567415730339,11.5,-47.16657193393276,6.38322963907879
100,6.720725070224724,11.5,-49.07393669039544,5.887119716006972
100,6.926461551966295,11.0,-47.16657193393276,10.205040289414368
100,7.132198033707869,11.0,-46.2382573073202,13.064864085865072
100,7.33793451544944,11.5,-46.2382573073202,11.60086605840037
100,7.475092169943824,11.5,-43.54221902815587,11.285002522587757
100,7.612249824438205,16.0,-42.6702338712576,10.936430878107313
100,7.749407478932589,11.5,-42.6702338712576,16.677320868035917
100,7.81798630617978,15.5,-40.96178855234937,1.9944923860143968
100,8.02372278792135,11.5,-42.6702338712576,3.75268767134488
100,8.366616924157306,12.0,-40.96178855234937,0.4828876080853982
100,8.50377457865169,15.5,-22.88538047615857,8.760092864364095
100,8.709511060393261,12.0,-40.1240345935164,23.834155216050902
100,8.915247542134836,14.0,-41.8103148957786,-2.6941950719543746
100,9.052405196629216,13.0,-39.2964802391875,-3.1227961700036326
100,9.120984023876408,15.0,-24.97496536765996,6.022647989562011
100,9.25814167837079,14.5,-22.19610085682055,7.373420874836288
100,9.669614641853936,14.0,-34.51810784106126,12.398133666607364
100,9.669614641853936,16.0,-22.19610085682055,23.3751903008441
100,10.012508778089892,16.0,-18.12620396055673,-3.9477162285192553
100,10.081087605337082,17.0,-15.466009953420548,-2.317310477174689
100,12.618504213483147,26.5,-20.827496932012146,18.172485737059063
100,12.75566186797753,24.5,-19.471220634490688,4.1432377679557
100,12.75566186797753,28.0,-20.1478862872471,23.082587632817653
100,12.824240695224724,26.0,-18.12620396055673,12.244829166809986
100,12.824240695224724,29.0,-18.797368824406544,11.18011924649511
100,12.961398349719104,28.5,-16.127620213160757,6.618144448687237
101,-10.540619746969831,196.0627400768246,2.2399605578440918,7.900842436948661
101,-10.540619746969831,198.06338028169017,2.2399605578440918,10.376310533432314
101,-7.257475891356277,216.06914212548017,0.4456160443106177,7.86252994566305
101,0.2743153089887649,6.5,-44.4270040008057,24.864600082550112
101,0.6172094452247201,6.5,-43.54221902815587,15.16564216622391
101,0.8229459269662946,6.5,-41.8103148957786,2.974135946075882
101,1.16584006320225,7.0,-36.07819997184263,3.055588030688639
101,1.5773130266853954,6.5,-41.8103148957786,10.33356677618764
101,1.988785990168541,7.0,-38.47859513329794,17.10234405550226
101,2.331680126404496,8.0,-35.29439467666015,9.868532231332614
101,2.5374166081460707,7.5,-34.51810784106126,12.885532321808569
101,2.7431530898876417,7.5,-35.29439467666015,24.037130998926337
101,3.086047226123597,7.0,-37.66988696432964,-6.543862723195042
101,3.360362535112362,7.0,-36.86989764584402,1.541538563620946
101,3.634677844101127,7.5,-36.07819997184263,8.819307931491254
101,7.33793451544944,13.0,-39.2964802391875,24.84355608977871
101,7.543670997191015,12.5,-46.2382573073202,0.8307303156727596
101,7.81798630617978,14.0,-39.2964802391875,11.859231794655887
101,7.95514396067416,12.0,-42.6702338712576,2.1938718205823
101,8.092301615168545,12.0,-41.8103148957786,0.1884867550635793
101,8.298038096910116,16.5,-37.66988696432964,-2.0739726423449683
101,8.57235340589888,12.5,-39.2964802391875,23.869688256306457
101,8.57235340589888,16.5,-35.29439467666015,10.965426375187452
101,8.778089887640455,12.5,-38.47859513329794,11.17592328837472
101,8.983826369382026,16.5,-20.827496932012146,-2.103976165236048
101,9.052405196629216,12.5,-37.66988696432964,-2.99149822798599
101,9.32672050561798,15.5,-22.19610085682055,1.073611010952839
101,9.463878160112362,13.0,-37.66988696432964,0.2385169577282071
101,9.463878160112362,14.0,-40.1240345935164,-3.3195830238128083
101,9.669614641853936,15.5,-18.12620396055673,17.809397063990723
101,9.738193469101128,17.0,-19.471220634490688,19.57552315990077
101,9.875351123595513,14.0,-36.07819997184263,-6.311664639815492
101,9.875351123595513,16.5,-14.806506911897516,11.327252660144833
101,10.081087605337082,18.0,-13.493398821551688,-6.909481160990998
