Frame,gid,model,side,n_roi,fit_ok,a,b,x_ref,y_gt,y_hat,y_error,abs_y_error
80,15,0,top,1,0,,,,,,,
80,16,1,top,0,0,,,,,,,
80,17,2,bottom,1,0,,,,,,,
80,18,0,bottom,1,0,,,,,,,
80,19,1,top,1,0,,,,,,,
80,20,2,bottom,1,0,,,,,,,
81,15,0,top,0,0,,,,,,,
81,16,1,top,1,0,,,,,,,
81,17,2,bottom,1,0,,,,,,,
81,18,0,bottom,2,1,0.14323517653456,21.35388039915092,5.249998652440489,22.162542479699617,22.105864882939436,-0.05667759676018136,0.05667759676018136
81,19,1,top,0,0,,,,,,,
81,20,2,bottom,1,0,,,,,,,
82,15,0,top,0,0,,,,,,,
82,16,1,top,0,0,,,,,,,
82,17,2,bottom,0,0,,,,,,,
82,18,0,bottom,0,0,,,,,,,
82,19,1,top,0,0,,,,,,,
82,20,2,bottom,0,0,,,,,,,
83,15,0,top,0,0,,,,,,,
83,16,1,top,0,0,,,,,,,
83,17,2,bottom,1,0,,,,,,,
83,18,0,bottom,0,0,,,,,,,
83,19,1,top,1,0,,,,,,,
83,20,2,bottom,1,0,,,,,,,
84,15,0,top,0,0,,,,,,,
84,16,1,top,0,0,,,,,,,
84,17,2,bottom,1,0,,,,,,,
84,18,0,bottom,1,0,,,,,,,
84,19,1,top,0,0,,,,,,,
84,20,2,bottom,1,0,,,,,,,
85,15,0,top,1,0,,,,,,,
85,16,1,top,0,0,,,,,,,
85,17,2,bottom,0,0,,,,,,,
85,18,0,bottom,0,0,,,,,,,
85,19,1,top,0,0,,,,,,,
85,20,2,bottom,0,0,,,,,,,
86,15,0,top,0,0,,,,,,,
86,16,1,top,0,0,,,,,,,
86,17,2,bottom,0,0,,,,,,,
86,18,0,bottom,1,0,,,,,,,
86,19,1,top,1,0,,,,,,,
86,20,2,bottom,0,0,,,,,,,
87,15,0,top,1,0,,,,,,,
87,16,1,top,0,0,,,,,,,
87,17,2,bottom,1,0,,,,,,,
87,18,0,bottom,1,0,,,,,,,
87,19,1,top,0,0,,,,,,,
87,20,2,bottom,0,0,,,,,,,
88,15,0,top,0,0,,,,,,,
88,16,1,top,0,0,,,,,,,
88,17,2,bottom,1,0,,,,,,,
88,18,0,bottom,0,0,,,,,,,
88,19,1,top,0,0,,,,,,,
88,20,2,bottom,0,0,,,,,,,
88,22,1,top,0,0,,,,,,,
89,15,0,top,0,0,,,,,,,
