Frame,gid,model,gt_x,gt_y,side_closest_to_x_axis,n_roi,hit,cid,n_cluster,r_t,q_t,p_tail,vr_mean,vr_std
80,15,0,-8.750000000000004,130.46079096995012,top,1,1,3.0,3,0.33333322222225925,1.0,0.7999999666666777,-12.095793152260462,0.0
80,16,1,-1.7499999999999996,107.50504925381613,top,0,0,1.0,4,0.0,0.0,0.0,-15.033342917809431,0.0
80,17,2,1.75,41.53352143314576,bottom,1,1,6.0,2,0.499999750000125,1.0,0.8499999250000374,13.510028967696636,0.0
80,18,0,5.250000000000001,23.542721353490446,bottom,1,1,5.0,4,0.24999993750001562,1.0,0.7749999812500047,10.835454705056183,0.10843264668217165
80,19,1,-5.249999999999999,116.16486845127275,top,1,1,2.0,3,0.33333322222225925,1.0,0.7999999666666777,-13.86696286384146,0.0
80,20,2,8.750000000000002,24.411649526357014,bottom,1,1,4.0,3,0.33333322222225925,1.0,0.7999999666666777,10.423981741573039,0.09698510758462063
81,15,0,-8.75,129.24226577009165,top,0,0,3.0,4,0.0,0.5,0.35,-12.138992413518537,0.0
81,16,1,-1.7500000000000002,106.01202621845002,top,1,1,1.0,4,0.24999993750001562,0.5,0.42499998125000465,-14.903745134035216,0.0
81,17,2,1.7500000000000007,42.90502828860585,bottom,1,1,5.0,2,0.499999750000125,1.0,0.8499999250000374,13.578607794943828,0.0
81,18,0,5.250000000000001,24.69254247969926,bottom,2,1,4.0,5,0.399999920000016,1.0,0.8199999760000047,10.876602001404496,0.054863061797752265
81,19,1,-5.249999999999997,114.77510755030643,top,0,0,2.0,2,0.0,0.5,0.35,-13.86696286384146,0.0
81,20,2,8.750000000000002,25.58046246553218,bottom,1,1,6.0,1,0.9999990000010001,1.0,0.9999997000003,10.698297050561797,0.0
82,15,0,-8.75,128.02037718661538,top,0,0,3.0,2,0.0,0.3333333333333333,0.2333333333333333,-12.18219167477661,0.0
82,16,1,-1.7500000000000004,104.5101006191024,top,0,0,1.0,3,0.0,0.3333333333333333,0.2333333333333333,-14.990143656551359,0.0
82,17,2,1.7500000000000002,44.27841669100895,bottom,0,0,5.0,2,0.0,0.6666666666666666,0.4666666666666666,13.578607794943828,0.0
82,18,0,5.249999999999999,25.83951516667213,bottom,0,0,4.0,4,0.0,0.6666666666666666,0.4666666666666666,10.93832294592697,0.03428941362359783
82,19,1,-5.249999999999999,113.3792997881124,top,0,0,2.0,2,0.0,0.3333333333333333,0.2333333333333333,-13.910162125099532,0.0
82,20,2,8.75,26.746717291356397,bottom,0,0,6.0,1,0.0,0.6666666666666666,0.4666666666666666,10.766875877808992,0.0
83,15,0,-8.750000000000002,126.80305502967174,top,0,0,3.0,5,0.0,0.25,0.175,-12.138992413518537,0.0
83,16,1,-1.7500000000000004,103.0135676332174,top,0,0,1.0,2,0.0,0.25,0.175,-14.946944395293286,0.0
